Date,Track,RaceNumber,HorseNumber,HorseName,Weight,RSRLastRun,Barrier,Jockey,Odds,Trainer,RunsFromSpell,DaysSinceLastRun,LastStartFinishPosition,Distance,Age,Starts,FinishPosition,RSR,IsFirstTimeRacer
7/11/2023,Ascot,1,1,Go Go Grommet,58.5,68.13333333,3,Madi Derrick,3.099999905,Tiarnna Robertson,0,110.0,9.0,1000,4,5.0,3,76.97500013,0
7/11/2023,Ascot,1,2,Bayezid,59.0,72.82500026,2,Jarrad Noske,5.0,Tiarnna Robertson,3,13.0,4.0,1000,4,9.0,1,83.7,0
7/11/2023,Ascot,1,3,Deep Point,59.0,63.99999974,4,Clinton Porter,12.0,C & M Gangemi,0,90.0,8.0,1000,4,8.0,6,75.17500026,0
7/11/2023,Ascot,1,4,Rockaria,58.5,65.34999988,1,S Parnham,13.0,T M Wolfe,5,18.999999999999996,5.0,1000,4,7.0,4,75.05,0
7/11/2023,Ascot,1,5,Dreamers Never Die,57.5,61.49583311,5,Chris Parnham,3.299999952,Luke Fernie,0,143.0,8.0,1000,3,3.0,5,74.25,0
7/11/2023,Ascot,1,6,Leading Taddy,57.5,72.22499995,6,S Mc Gruddy,5.5,A W Maley,3,13.0,3.0,1000,3,8.0,2,77.27500007,0
7/11/2023,Ascot,2,1,It's Trumps,58.0,57.71874984,2,Michael Poy,101.0,Robyn Cottman,0,117.0,9.0,1500,8,20.0,12,31.500001400000002,0
7/11/2023,Ascot,2,2,Keep It Hush,56.5,57.74142012,4,Keshaw Dhurun,151.0,Daniel O'Connor,2,12.0,9.0,1500,7,29.0,11,63.11666649,0
7/11/2023,Ascot,2,3,Northeast Eagle,58.0,66.50833348,8,Jarrad Noske,61.0,Tiarnna Robertson,3,13.0,7.0,1500,5,16.0,9,66.51666702,0
7/11/2023,Ascot,2,4,Secrecy,58.0,73.0,5,Joseph Azzopardi,12.0,R C McPherson,1,12.0,2.0,1500,4,8.0,3,77.15000004,0
7/11/2023,Ascot,2,6,Fioreyes,58.0,68.95000029,11,S Mc Gruddy,151.0,A W Maley,0,272.0,9.0,1500,4,2.0000000000000018,10,64.31666649,0
7/11/2023,Ascot,2,7,Autumn Rebel,56.0,80.96785719,10,Clinton Porter,2.099999905,D T McAuliffe,2,17.0,5.0,1500,3,5.0,1,77.2,0
7/11/2023,Ascot,2,8,Full Of Merit,56.0,73.90625,12,Holly Watson,8.0,D M Luciani,4,45.0,6.0,1500,4,7.0,2,76.09999996,0
7/11/2023,Ascot,2,9,Big Player,56.0,68.97446809,7,Chris Parnham,12.0,Luke Fernie,3,12.0,3.0,1500,3,8.0,7,68.03333333,0
7/11/2023,Ascot,2,10,Stylish Lord,56.0,71.26153856,9,S Parnham,16.0,Russell Stewart,2,18.999999999999996,2.0,1500,3,2.0000000000000018,5,74.26666662,0
7/11/2023,Ascot,2,11,Keep A Knockin',56.0,57.70000081,3,P Carbery,151.0,Ryan Hill,1,9.0,11.0,1500,3,2.0000000000000018,8,66.93333351,0
7/11/2023,Ascot,2,12,Grand Reserve,56.0,67.63900719,6,B Parnham,26.0,D L Morton,2,12.0,5.0,1500,3,2.0000000000000018,4,74.26666662,0
7/11/2023,Ascot,2,13,Processio,54.0,71.7072202,1,W Pike,3.400000095,G & A Williams,1,12.0,3.0,1500,3,1.0,6,71.19999983,0
7/11/2023,Ascot,3,1,Beats Of War,60.0,69.09166678,4,Joseph Azzopardi,14.0,D T McAuliffe,2,20.0,10.0,1500,4,6.0,6,69.16666667,0
7/11/2023,Ascot,3,2,Samaria,59.0,66.42485238,7,W Pike,3.700000048,Mitchell Pateman,5,12.0,8.0,1500,5,10.0,7,65.98333298,0
7/11/2023,Ascot,3,3,Kiralui,58.5,71.0,3,Chris Parnham,5.0,D & B Pearce,3,12.0,1.0,1500,4,3.0,5,68.33333342,0
7/11/2023,Ascot,3,4,Marinsky Ballet,58.5,70.36785719,8,Jarrad Noske,9.5,D L Morton,3,9.0,4.0,1500,5,9.0,3,72.18333325,0
7/11/2023,Ascot,3,5,Celebrity Icon,57.5,65.95714323,6,S Parnham,9.0,Luke Fernie,2,27.0,7.0,1500,4,15.0,4,70.09999983,0
7/11/2023,Ascot,3,6,Ima Wild Girl,57.0,74.21785724,2,Clinton Porter,5.5,D & B Pearce,4,17.0,9.0,1500,3,8.0,2,72.08333329,0
7/11/2023,Ascot,3,7,Ecstasy Of Gold,56.5,75.3,1,Holly Watson,7.5,Greg Cave,4,12.0,1.0,1500,3,13.0,1,73.7,0
7/11/2023,Ascot,3,8,Visions Of Grace,56.0,59.21666645,5,B Parnham,9.0,Ms A King,1,13.0,8.0,1500,4,8.0,8,59.55,0
7/11/2023,Ascot,4,1,Odin Omen,59.0,66.46785752,1,S Mc Gruddy,5.5,A W Maley,3,13.0,7.0,1200,3,6.0,7,71.73333333,0
7/11/2023,Ascot,4,2,Playball,59.0,71.03750005,7,B Parnham,6.0,N D Parnham,3,6.0,2.0,1200,3,3.0,4,75.39999978,0
7/11/2023,Ascot,4,3,Transcribe,59.0,-1.0,4,W Pike,8.5,Takahide Ikenushi,0,1095.0,-1.0,1200,3,0.0,5,75.17083333,1
7/11/2023,Ascot,4,4,Weapons Hot,59.0,73.15541513,8,Chris Parnham,11.0,Luke Fernie,3,12.0,2.0,1200,3,3.0,3,77.00416656,0
7/11/2023,Ascot,4,6,Riseanfall,56.5,75.08333332,5,Brandon Louis,4.800000191,Ms J Kelly,2,13.0,2.0,1200,3,2.0000000000000018,2,76.83750005,0
7/11/2023,Ascot,4,7,Cher,57.0,69.8036101,6,Holly Watson,3.799999952,T M Andrews,1,12.0,2.0,1200,3,1.0,1,79.3,0
7/11/2023,Ascot,4,8,Lifeisbutadream,57.0,-1.0,2,Clinton Porter,7.5,Jayson Hines,0,1095.0,-1.0,1200,3,0.0,6,71.50833311,1
7/11/2023,Ascot,4,9,Stolen Valour,56.0,44.72500105,3,S Parnham,51.0,Russell Stewart,2,18.999999999999996,8.0,1200,3,4.0,8,59.70833377,0
7/11/2023,Ascot,5,1,Blazing Tycoon,60.0,69.93214276,5,Jordan Turner,21.0,William Lewthwaite,1,17.0,8.0,1400,8,53.0,5,81.06071419,0
7/11/2023,Ascot,5,2,Long Weekend,58.0,77.12083355,8,Madi Derrick,21.0,William Lewthwaite,5,6.0,8.0,1400,6,24.0,4,80.24642867,0
7/11/2023,Ascot,5,3,Forever Dreaming,56.0,80.72857141,2,Luke Campbell,6.0,C H Webster,5,17.0,3.0,1400,5,20.0,3,79.03928567,0
7/11/2023,Ascot,5,4,Captain Pluto,57.5,71.94999971,1,W Pike,2.5,G & A Williams,0,143.0,11.0,1400,4,8.0,2,81.81071426,0
7/11/2023,Ascot,5,5,Split Jete,57.5,74.82142838,4,Holly Watson,8.0,Steven Burton,4,24.0,12.0,1400,5,24.0,7,72.18571466,0
7/11/2023,Ascot,5,6,Climb On Top,57.0,78.70416656,3,Clinton Porter,3.700000048,D & B Pearce,1,10.0,4.0,1400,4,5.0,1,82.0,0
7/11/2023,Ascot,5,7,Zadar Rock,55.5,75.95,6,Keshaw Dhurun,18.0,J P Taylor,0,108.0,10.0,1400,5,20.0,8,68.81785733,0
7/11/2023,Ascot,5,8,Royal Gap,54.5,77.05,7,S Mc Gruddy,13.0,A W Maley,1,11.0,5.0,1400,5,30.0,6,72.73214276,0
7/11/2023,Ascot,6,1,Mercurius,60.0,77.3,3,Holly Watson,7.5,Steven Burton,5,20.0,1.0,1800,5,16.0,9,66.58333304,0
7/11/2023,Ascot,6,2,Vevinsky,58.0,71.25714267,6,Brandon Louis,7.0,D R Harrison,4,17.0,9.0,1800,5,24.0,5,73.23333319,0
7/11/2023,Ascot,6,3,Ocean Aura,58.5,68.96875,9,Chris Parnham,6.5,P E Roberts,1,20.0,10.0,1800,6,16.0,4,73.78611118,0
7/11/2023,Ascot,6,4,Mingora,58.0,71.728125,5,W Pike,4.400000095,P J Fernie,7,9.0,2.0,1800,5,19.0,2,76.44166665,0
7/11/2023,Ascot,6,5,Devonia,56.5,74.28611118,7,B Parnham,7.0,Brian Kersley,1,20.0,5.0,1800,5,17.0,3,72.49166681,0
7/11/2023,Ascot,6,6,Allaboutthecraic,54.5,74.6,1,S Mc Gruddy,5.0,A W Maley,7,11.0,1.0,1800,5,32.0,6,68.60000015,0
7/11/2023,Ascot,6,7,Gin 'n' Swanic,54.5,71.1,2,S Parnham,21.0,Mack Hall,15,43.0,2.0,1800,6,35.0,8,63.40555556,0
7/11/2023,Ascot,6,8,Gratias Deo,52.5,71.90295827,4,Luke Campbell,9.5,Daniel O'Connor,2,12.0,5.0,1800,6,19.0,1,72.5,0
7/11/2023,Ascot,6,9,Tell Nothin',54.5,48.85,8,Michael Poy,26.0,Ms J Mitchell,7,27.0,8.0,1800,5,26.0,7,66.91944474,0
7/11/2023,Ascot,7,1,Feuding,59.5,76.025,6,Jarrad Noske,11.0,D L Morton,6,17.0,5.0,2150,5,22.0,5,79.35000004,0
7/11/2023,Ascot,7,2,Dun With The Blues,59.0,78.6,4,Clinton Porter,2.400000095,D & B Pearce,5,43.0,1.0,2150,4,8.0,3,79.70000004,0
7/11/2023,Ascot,7,4,Big Swoop,58.5,77.0,2,S Parnham,15.0,R J Malpass,3,20.0,1.0,2150,6,41.0,9,68.49999943,0
7/11/2023,Ascot,7,5,Mystical Man,58.0,72.15000014,8,P Carbery,31.0,Mollie Clark,7,10.0,11.0,2150,6,26.0,4,78.30000007,0
7/11/2023,Ascot,7,6,Toni's Spirit,58.0,77.55,10,Michael Poy,7.0,Jordan Rolfe,6,10.0,3.0,2150,5,8.0,2,79.95000002,0
7/11/2023,Ascot,7,7,Niigata,56.5,74.07499993,7,Joseph Azzopardi,15.0,D T McAuliffe,1,20.0,7.0,2150,5,31.0,6,73.94999986,0
7/11/2023,Ascot,7,8,God's Garden,56.0,77.95000007,9,Jordan Turner,9.5,Sue Olive,10,10.0,5.0,2150,6,13.0,7,72.04999986,0
